gene,Strategy,csy interval,csy start age,run type,QALYs,Life-years,CRC incidence,CRC death,cost,colonoscopies,csy comps
MLH1,"Q1Y, Start age: 25",1,25,D_matrix_MLH1_1_25_both_genders.csv,29.509443370906354,46.47698051631306,0.2671128108632157,0.03230132065841266,32676.080745248135,42.44538105806982,0.03823107509759828
MLH1,"Q1Y, Start age: 30",1,30,D_matrix_MLH1_1_30_both_genders.csv,29.316115556000778,46.14708273902893,0.2849656108477713,0.04225146784436115,30938.59886450759,35.601886255828106,0.03244937585485323
MLH1,"Q1Y, Start age: 35",1,35,D_matrix_MLH1_1_35_both_genders.csv,29.166134090620286,45.877942275655506,0.3030687214156934,0.05141916501744176,28709.715220001686,30.039264413455488,0.02768637711322797
MLH1,"Q1Y, Start age: 40",1,40,D_matrix_MLH1_1_40_both_genders.csv,28.969138908821762,45.5288795080178,0.3316349496187451,0.0648832002922865,27633.481472208365,24.392714544140798,0.022848351428910788
MLH1,"Q2Y, Start age: 25",2,25,D_matrix_MLH1_2_25_both_genders.csv,29.436788165525105,46.290697301589375,0.3259081648217675,0.043312699624540665,27230.770190445073,29.593642263243552,0.027879252561800818
MLH1,"Q2Y, Start age: 30",2,30,D_matrix_MLH1_2_30_both_genders.csv,29.25326807122234,45.9852741678639,0.3411305167037056,0.0524113454339605,26575.909767661862,24.866916535482915,0.023792892704769183
MLH1,"Q2Y, Start age: 35",2,35,D_matrix_MLH1_2_35_both_genders.csv,29.10365720409028,45.73359259684337,0.35684539789701697,0.060888739204807925,26072.484473626388,20.5012950027721,0.019987911441358558
MLH1,"Q2Y, Start age: 40",2,40,D_matrix_MLH1_2_40_both_genders.csv,28.916128077532495,45.40993738203798,0.38138668676128507,0.07324206340015549,25844.901949357904,17.289066501979367,0.01710488823886133
MLH1,"Q3Y, Start age: 25",3,25,D_matrix_MLH1_3_25_both_genders.csv,29.361121301242367,46.13819458301503,0.3540575850743667,0.05184891484467657,25864.34148622998,25.19879171136848,0.024328165807241262
MLH1,"Q3Y, Start age: 30",3,30,D_matrix_MLH1_3_30_both_genders.csv,29.18702341908863,45.85423548183027,0.3680544662397275,0.06020686588112833,25808.13162405968,21.18331149793704,0.02081177020188107
MLH1,"Q3Y, Start age: 35",3,35,D_matrix_MLH1_3_35_both_genders.csv,29.047490324879426,45.61767274860531,0.3826514015413891,0.06809548065469681,25115.378673515934,17.523901725395945,0.01757196879915597
MLH1,"Q3Y, Start age: 40",3,40,D_matrix_MLH1_3_40_both_genders.csv,28.864818002707853,45.315784153194095,0.4053099192936233,0.07951054399273448,25979.797048132874,14.264915014603355,0.014655305573376685
MLH1,"Q4Y, Start age: 25",4,25,D_matrix_MLH1_4_25_both_genders.csv,28.723763158191964,45.15160552707676,0.5717016475908853,0.10758030390061643,33882.40712260354,19.945837391635354,0.019809442860333794
MLH1,"Q4Y, Start age: 30",4,30,D_matrix_MLH1_4_30_both_genders.csv,28.63400270362566,44.99158619920161,0.577106808548292,0.1120896329015391,32925.30059972917,16.151397408900397,0.016478864818437453
MLH1,"Q4Y, Start age: 35",4,35,D_matrix_MLH1_4_35_both_genders.csv,28.54851575580305,44.84403162480855,0.5837286825177255,0.11679479125653862,32313.644123972528,13.623810251663377,0.014146545661770815
MLH1,"Q4Y, Start age: 40",4,40,D_matrix_MLH1_4_40_both_genders.csv,28.449351271103836,44.67193349562937,0.5930049133240102,0.12305275672578388,32195.52384241332,11.537344413472432,0.012201704511810605
MLH1,"Q5Y, Start age: 25",5,25,D_matrix_MLH1_5_25_both_genders.csv,28.319642959027824,44.51769403227427,0.6798773567590954,0.13953430958651974,38608.89047828557,16.968570645929667,0.017224834667200466
MLH1,"Q5Y, Start age: 30",5,30,D_matrix_MLH1_5_30_both_genders.csv,28.281270186013586,44.44097713982464,0.6817554485690308,0.1417895144044227,37928.50649467693,13.308367993080635,0.014007815723860895
MLH1,"Q5Y, Start age: 35",5,35,D_matrix_MLH1_5_35_both_genders.csv,28.234635118356355,44.3523279342955,0.6849825508615206,0.14465365563181856,36823.87770199601,10.905025724387094,0.01177641235858956
MLH1,"Q5Y, Start age: 40",5,40,D_matrix_MLH1_5_40_both_genders.csv,28.18906409369822,44.264357600114245,0.6886239437739338,0.14798101454500653,36087.048003045966,9.037114346086568,0.010028183066832435
MSH2,"Q1Y, Start age: 25",1,25,D_matrix_MSH2_1_25_both_genders.csv,29.70245068957563,46.73431164984237,0.1327080724564352,0.015677296775525044,28224.248334196414,44.81649746137495,0.04027602297809642
MSH2,"Q1Y, Start age: 30",1,30,D_matrix_MSH2_1_30_both_genders.csv,29.631178592495495,46.58878195059718,0.1422609374045041,0.02036220398205388,25485.711613978834,38.423741130354934,0.03492254684319425
MSH2,"Q1Y, Start age: 35",1,35,D_matrix_MSH2_1_35_both_genders.csv,29.575494585803487,46.46677434908925,0.15233931909333567,0.024815242416485386,22376.314136763707,33.15734604233507,0.03045639163923839
MSH2,"Q1Y, Start age: 40",1,40,D_matrix_MSH2_1_40_both_genders.csv,29.472282558780936,46.26780631337812,0.1712292896464111,0.03281792063927365,20339.97950917244,27.754784030712162,0.025879120673315967
MSH2,"Q2Y, Start age: 25",2,25,D_matrix_MSH2_2_25_both_genders.csv,29.694331568248696,46.642824464601695,0.16566876123142465,0.02132673739027127,21562.71320754504,31.993783070720802,0.02998290887813877
MSH2,"Q2Y, Start age: 30",2,30,D_matrix_MSH2_2_30_both_genders.csv,29.624123883764295,46.507664097649815,0.1741836645955921,0.025666028338882364,19920.09781060188,27.498260100589142,0.026147504864348754
MSH2,"Q2Y, Start age: 35",2,35,D_matrix_MSH2_2_35_both_genders.csv,29.56215867566242,46.39236829626594,0.1834030998675912,0.029866012516697238,18584.009368134324,23.244325567775263,0.02249057378592967
MSH2,"Q2Y, Start age: 40",2,40,D_matrix_MSH2_2_40_both_genders.csv,29.461662231973158,46.20780924548055,0.20019081612729067,0.037265708185395985,17457.99238569736,20.16392116952517,0.019775745392782842
MSH2,"Q3Y, Start age: 25",3,25,D_matrix_MSH2_3_25_both_genders.csv,29.666379350691784,46.56828317906949,0.18206259414936454,0.02565184807412127,19577.997605149,27.60410863729934,0.026453437123232924
MSH2,"Q3Y, Start age: 30",3,30,D_matrix_MSH2_3_30_both_genders.csv,29.598218159710413,46.44226599683251,0.1900703191395248,0.02968659848228593,18561.50436555038,23.738458942912217,0.023122076470959728
