x,Curve1
20.394,3.677
21.7,3.421
22.603,3.688
23.406,3.955
23.5,7.105
24.302,7.634
25.202,9.214
25.599,11.578
26.503,11.32
27.808,11.59
28.712,11.332
29.411,13.435
30.915,14.493
32.015,16.336
33.42,16.868
34.22,18.447
35.32,20.553
36.621,22.659
37.82,25.815
39.12,28.447
40.518,32.129
42.223,32.925
43.12,36.079
44.618,40.024
45.917,43.443
47.118,45.287
48.418,47.918
50.121,49.764
50.817,53.18
52.62,55.289
53.015,58.441
54.519,59.499
56.122,61.344
57.223,62.925
58.121,65.817
59.121,67.659
61.33,67.671
63.739,68.209
66.249,67.959
67.353,68.228
68.251,70.857
68.75,72.697
69.443,77.162
69.744,77.689
