mutation,current,new,nono,init adenoma,adenoma,init dx stage I,init dx stage II,init dx stage III,init dx stage IV,dx stage I,dx stage II,dx stage III,dx stage IV,all cause dx,all cause,cancer death
0,0.5,0.5,0.5,0.5,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0
0,1,1,1,0.9945,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0
0,1,1,1,0.9945,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0
0,1,1,1,0.9945,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0
0,1,1,1,0.9945,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0
0,1,1,1,0.9945,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0
0,1,1,1,0.9945,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0
0,1,1,1,0.9945,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0
0,1,1,1,0.9945,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0
0,1,1,1,0.9945,0.9945,0.88,0.82,0.76,0.3,0.95,0.95,0.76,0.3,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0
0,0.89,0.89,0.89,0.8845,0.8845,0.7832,0.7298,0.6764,0.267,0.8455,0.8455,0.6764,0.267,0,0,0
0,0.88,0.88,0.88,0.8745,0.8745,0.7744,0.7216,0.6688,0.264,0.836,0.836,0.6688,0.264,0,0,0
0,0.88,0.88,0.88,0.8745,0.8745,0.7744,0.7216,0.6688,0.264,0.836,0.836,0.6688,0.264,0,0,0
0,0.88,0.88,0.88,0.8745,0.8745,0.7744,0.7216,0.6688,0.264,0.836,0.836,0.6688,0.264,0,0,0
0,0.88,0.88,0.88,0.8745,0.8745,0.7744,0.7216,0.6688,0.264,0.836,0.836,0.6688,0.264,0,0,0
0,0.88,0.88,0.88,0.8745,0.8745,0.7744,0.7216,0.6688,0.264,0.836,0.836,0.6688,0.264,0,0,0
0,0.88,0.88,0.88,0.8745,0.8745,0.7744,0.7216,0.6688,0.264,0.836,0.836,0.6688,0.264,0,0,0
0,0.88,0.88,0.88,0.8745,0.8745,0.7744,0.7216,0.6688,0.264,0.836,0.836,0.6688,0.264,0,0,0
0,0.88,0.88,0.88,0.8745,0.8745,0.7744,0.7216,0.6688,0.264,0.836,0.836,0.6688,0.264,0,0,0
0,0.88,0.88,0.88,0.8745,0.8745,0.7744,0.7216,0.6688,0.264,0.836,0.836,0.6688,0.264,0,0,0
0,0.88,0.88,0.88,0.8745,0.8745,0.7744,0.7216,0.6688,0.264,0.836,0.836,0.6688,0.264,0,0,0
0,0.86,0.86,0.86,0.8545,0.8545,0.7568,0.7052,0.6536,0.258,0.817,0.817,0.6536,0.258,0,0,0
