Strategy,Value
"MLH1 Q1Y, Start age: 25",0.837
,
"MLH1 Q1Y, Start age: 30",0
,
"MLH1 Q1Y, Start age: 35",0
,
"MLH1 Q1Y, Start age: 40",0
,
"MLH1 Q2Y, Start age: 25",0.163
,
"MLH1 Q2Y, Start age: 30",0
,
"MLH1 Q2Y, Start age: 35",0
,
"MLH1 Q2Y, Start age: 40",0
,
"MLH1 Q3Y, Start age: 25",0
,
"MLH1 Q3Y, Start age: 30",0
,
"MLH1 Q3Y, Start age: 35",0
,
"MLH1 Q3Y, Start age: 40",0
,
"MLH1 Q4Y, Start age: 25",0
,
"MLH1 Q4Y, Start age: 30",0
,
"MLH1 Q4Y, Start age: 35",0
,
"MLH1 Q4Y, Start age: 40",0
,
"MSH2 Q1Y, Start age: 25",0
,
"MSH2 Q1Y, Start age: 30",0
,
"MSH2 Q1Y, Start age: 35",0
,
"MSH2 Q1Y, Start age: 40",0
,
"MSH2 Q2Y, Start age: 25",0.852
,
"MSH2 Q2Y, Start age: 30",0
,
"MSH2 Q2Y, Start age: 35",0
,
"MSH2 Q2Y, Start age: 40",0
,
"MSH2 Q3Y, Start age: 25",0.148
,
"MSH2 Q3Y, Start age: 30",0
,
"MSH2 Q3Y, Start age: 35",0
,
"MSH2 Q3Y, Start age: 40",0
,
"MSH2 Q4Y, Start age: 25",0
,
"MSH2 Q4Y, Start age: 30",0
,
"MSH2 Q4Y, Start age: 35",0
,
"MSH2 Q4Y, Start age: 40",0
,
"MSH6 Q1Y, Start age: 25",0
,
"MSH6 Q1Y, Start age: 30",0
,
"MSH6 Q1Y, Start age: 35",0
,
"MSH6 Q1Y, Start age: 40",0
,
"MSH6 Q2Y, Start age: 25",0
,
"MSH6 Q2Y, Start age: 30",0
,
"MSH6 Q2Y, Start age: 35",0
,
"MSH6 Q2Y, Start age: 40",0.171
,
"MSH6 Q3Y, Start age: 25",0
,
"MSH6 Q3Y, Start age: 30",0
,
"MSH6 Q3Y, Start age: 35",0.183
,
"MSH6 Q3Y, Start age: 40",0.646
,
"MSH6 Q4Y, Start age: 25",0
,
"MSH6 Q4Y, Start age: 30",0
,
"MSH6 Q4Y, Start age: 35",0
,
"MSH6 Q4Y, Start age: 40",0
,
"PMS2 Q1Y, Start age: 25",0
,
"PMS2 Q1Y, Start age: 30",0
,
"PMS2 Q1Y, Start age: 35",0
,
"PMS2 Q1Y, Start age: 40",0
,
"PMS2 Q2Y, Start age: 25",0
,
"PMS2 Q2Y, Start age: 30",0
,
"PMS2 Q2Y, Start age: 35",0
,
"PMS2 Q2Y, Start age: 40",0
,
"PMS2 Q3Y, Start age: 25",0
,
"PMS2 Q3Y, Start age: 30",0.124
,
"PMS2 Q3Y, Start age: 35",0
,
"PMS2 Q3Y, Start age: 40",0.876
,
"PMS2 Q4Y, Start age: 25",0
,
"PMS2 Q4Y, Start age: 30",0
,
"PMS2 Q4Y, Start age: 35",0
,
"PMS2 Q4Y, Start age: 40",0
