,dom_strat,inc_cost,inc_eff
0,"Q2Y, Start age: 25",0.09214877362978058,2790.77214933922
1,"Q1Y, Start age: 25",0.07974803658462903,6277.641358321576
2,"Q1Y, Start age: 25",0.08974013041085627,5454.901068421845
3,"Q1Y, Start age: 25",0.09343064646926535,5869.072139610973
4,"Q1Y, Start age: 25",0.07336802695882483,3641.1441624465842
5,"Q2Y, Start age: 25",0.08238690897206169,3144.365581816539
6,"Q2Y, Start age: 30",0.30022021161594736,721.921436507917
7,"Q2Y, Start age: 25",0.15031929736179706,6783.390268789539
8,"Q1Y, Start age: 30",0.14771269160180722,1614.1848000283935
9,"Q1Y, Start age: 25",0.0858013148206922,7339.792651237654
10,"Q1Y, Start age: 25",0.07500125594415863,3033.4732689591365
11,"Q1Y, Start age: 25",0.06547546656152292,4776.753220172912
12,"Q1Y, Start age: 25",0.10664536296984295,8529.883055534741
13,"Q1Y, Start age: 25",0.06287381387348034,4178.438135150733
14,"Q1Y, Start age: 25",0.08035763396427598,6962.882732104976
15,"Q1Y, Start age: 25",0.07502204145455948,2179.7097816362366
16,"Q1Y, Start age: 25",0.06187494016884898,5059.022796537425
17,"Q1Y, Start age: 25",0.047768725277038016,3820.6017034317265
18,"Q1Y, Start age: 25",0.06312769638343596,3677.343136662883
19,"Q2Y, Start age: 25",0.12185856211013757,6748.086494198575
20,"Q2Y, Start age: 25",0.06537673547942546,1591.3490221397115
21,"Q2Y, Start age: 25",0.06335204398674676,2733.5705387688904
22,"Q1Y, Start age: 25",0.05719400307931011,5334.42571028955
23,"Q1Y, Start age: 25",0.0782844373509981,5141.55316970171
24,"Q1Y, Start age: 25",0.06414310950995983,2856.082341511097
25,"Q1Y, Start age: 25",0.09103245494510759,4445.877356522877
26,"Q1Y, Start age: 25",0.07700561433805575,3355.9379190121326
27,"Q1Y, Start age: 25",0.06969878557226394,2328.745821813267
28,"Q1Y, Start age: 25",0.05741681630885864,2373.7061049393888
29,"Q1Y, Start age: 25",0.0709175304417613,4280.158174501677
30,"Q2Y, Start age: 25",0.06126799248221815,1795.5918142468581
31,"Q1Y, Start age: 25",0.08806731804261503,4933.521026936847
32,"Q2Y, Start age: 25",0.0654704701662503,1947.9399667565376
33,"Q1Y, Start age: 25",0.0582817845397372,2940.4612855595988
34,"Q2Y, Start age: 25",0.07293431333158296,7273.816327954984
35,"Q1Y, Start age: 25",0.0605088317664908,4695.1047570958945
36,"Q1Y, Start age: 25",0.0930004583017876,3485.326238182588
37,"Q1Y, Start age: 25",0.05729247373233193,3694.205470531295
38,"Q3Y, Start age: 30",0.05,0.0
39,"Q1Y, Start age: 25",0.09015278575267516,6320.37082863988
40,"Q1Y, Start age: 25",0.05547115614240283,1973.3119814243728
41,"Q1Y, Start age: 30",0.028156054880348336,2453.4334110404925
42,"Q1Y, Start age: 25",0.10608200640218968,8790.564178175737
43,"Q2Y, Start age: 25",0.14021170142964223,4380.138573735239
44,"Q1Y, Start age: 25",0.06455793636269647,2588.4422162511837
45,"Q1Y, Start age: 25",0.06311342322893765,6275.28022833437
46,"Q1Y, Start age: 25",0.0646866681141205,2285.150261533752
47,"Q1Y, Start age: 25",0.07665417924683382,5159.9525426490545
48,"Q1Y, Start age: 25",0.0782843262548063,5851.5361433349935
49,"Q2Y, Start age: 25",0.11659966251320242,4346.909774795182
50,"Q1Y, Start age: 25",0.07822792160745351,3370.841436959334
51,"Q1Y, Start age: 25",0.10354114175368423,2612.228677439838
52,"Q2Y, Start age: 25",0.05647298783719279,2985.7232596327776
53,"Q2Y, Start age: 25",0.06445764427703793,1563.8279734699827
54,"Q1Y, Start age: 25",0.0668851048088257,4748.866593158207
55,"Q2Y, Start age: 25",0.05042762530930389,2973.7759699078124
56,"Q2Y, Start age: 25",0.08811348801946295,4117.705037293294
57,"Q2Y, Start age: 25",0.05391546844958128,4742.229682792997
58,"Q1Y, Start age: 25",0.09340191418603894,6783.318482107166
59,"Q1Y, Start age: 25",0.1534464636747117,10529.89101465113
60,"Q2Y, Start age: 25",0.1448077678352817,4585.304730787495
61,"Q2Y, Start age: 25",0.0591215080752967,994.0695277452396
62,"Q2Y, Start age: 25",0.06965878205990705,2610.171687990587
63,"Q1Y, Start age: 25",0.045561290194729764,2103.8403168331497
64,"Q1Y, Start age: 25",0.07476400322105903,6203.8696946321725
65,"Q2Y, Start age: 25",0.06615022315736852,2784.170325212028
66,"Q2Y, Start age: 25",0.06080765383133624,2310.9127347940885
67,"Q1Y, Start age: 25",0.09646440762858077,2773.147580557583
68,"Q2Y, Start age: 25",0.06070762952795761,1252.262455279466
69,"Q1Y, Start age: 25",0.06738380687557921,4763.870995815156
70,"Q1Y, Start age: 25",0.05755965367489324,4587.2006385476525
71,"Q1Y, Start age: 25",0.0457595166781708,2427.419074730362
72,"Q2Y, Start age: 25",0.052456975993532495,1781.0057518893336
73,"Q1Y, Start age: 25",0.09680920755228684,6838.752087478879
74,"Q1Y, Start age: 25",0.0782252937099095,7177.5727595877
75,"Q2Y, Start age: 25",0.06078123208095931,1269.7320393228365
76,"Q1Y, Start age: 25",0.06925239666481886,5260.302591459571
77,"Q1Y, Start age: 25",0.08647480613964831,8417.389279730385
78,"Q1Y, Start age: 25",0.06303073716301455,1744.9962476274777
79,"Q2Y, Start age: 35",0.05,0.0
80,"Q1Y, Start age: 25",0.10035156618229735,9837.213165348156
81,"Q1Y, Start age: 30",0.14985239143936369,790.4391085789357
82,"Q1Y, Start age: 25",0.10380442910808085,6982.171071346878
83,"Q1Y, Start age: 25",0.07077895535744361,2648.369577324829
84,"Q1Y, Start age: 30",0.07455523892194194,4517.467688478751
85,"Q1Y, Start age: 25",0.08369119955159832,8138.924269994226
86,"Q1Y, Start age: 25",0.09141052705149733,7483.190829334002
87,"Q1Y, Start age: 25",0.08511023357726444,6261.864624855087
88,"Q2Y, Start age: 25",0.21672549908599237,6088.261352437246
89,"Q2Y, Start age: 25",0.09129136304255425,2619.4002095819487
90,"Q2Y, Start age: 25",0.07704832318119159,2381.955174619816
91,"Q1Y, Start age: 25",0.07678909058359196,3799.036480742965
92,"Q1Y, Start age: 25",0.0758498808231316,2657.0028829315997
93,"Q1Y, Start age: 25",0.07769604417940812,6308.646997004664
94,"Q1Y, Start age: 25",0.07471499428201511,2903.156878327707
95,"Q2Y, Start age: 25",0.06313823491709059,1281.6231142948782
96,"Q1Y, Start age: 25",0.060136314462820195,5424.4291616308
97,"Q2Y, Start age: 25",0.06038433681243305,1501.5507724021409
98,"Q1Y, Start age: 25",0.0557489644010154,925.8627146243598
99,"Q1Y, Start age: 25",0.1009692895538592,8064.716154807178
100,"Q1Y, Start age: 25",0.10717519693141853,6746.213323296299
101,"Q1Y, Start age: 25",0.08987855311760029,3934.321959431054
102,"Q2Y, Start age: 25",0.07517978637126888,2113.732363734929
103,"Q1Y, Start age: 25",0.1930624196601407,8849.285520903271
104,"Q1Y, Start age: 25",0.04192623678001084,2775.2019271716345
105,"Q1Y, Start age: 25",0.09123757453697934,5552.598863398169
106,"Q2Y, Start age: 25",0.05819683278057042,2322.555484472101
107,"Q1Y, Start age: 25",0.06631087787036094,3259.517718414063
108,"Q1Y, Start age: 30",0.07472221889995367,2032.6167457305855
109,"Q1Y, Start age: 25",0.07541337744700627,6028.841970674475
110,"Q1Y, Start age: 25",0.06588686786010456,1528.0912773499585
111,"Q1Y, Start age: 25",0.04594992120655661,4552.180222957755
112,"Q1Y, Start age: 35",0.35301341048880275,1748.265264941827
113,"Q1Y, Start age: 25",0.0688652026468084,1088.8000626396715
114,"Q2Y, Start age: 25",0.09097100813610481,2623.024423982559
115,"Q1Y, Start age: 25",0.09025198315477923,4763.618722386334
116,"Q1Y, Start age: 25",0.08989329696483495,5008.529843157212
117,"Q1Y, Start age: 25",0.04302365630277549,2453.731191710707
118,"Q1Y, Start age: 25",0.088422801324203,8069.542412422212
119,"Q1Y, Start age: 25",0.0715411977489957,5746.004767799157
120,"Q2Y, Start age: 25",0.049505727138051014,2119.300657361571
121,"Q1Y, Start age: 25",0.09120749184336674,4322.218092526855
122,"Q1Y, Start age: 25",0.07896300361093722,3169.74345175473
123,"Q1Y, Start age: 25",0.087589933825722,6861.52568077578
124,"Q2Y, Start age: 25",0.07714258906296223,2694.884600851805
125,"Q1Y, Start age: 25",0.0547804176931308,5009.818873832577
126,"Q1Y, Start age: 25",0.07473393425846453,3329.645909310966
127,"Q2Y, Start age: 25",0.05941039773022183,2392.3850099978263
128,"Q1Y, Start age: 25",0.07057183537472511,5211.720394651908
129,"Q1Y, Start age: 25",0.0598038579956075,2835.4392457736467
130,"Q1Y, Start age: 25",0.0798983966253175,4758.782128150437
131,"Q1Y, Start age: 25",0.055435567008224496,4430.621983171986
132,"Q1Y, Start age: 25",0.10420755395691117,1889.2439287366942
133,"Q1Y, Start age: 25",0.08400426363970936,7403.4451242988325
134,"Q2Y, Start age: 25",0.053377671545185024,2467.348117468813
135,"Q1Y, Start age: 25",0.1616276616595833,8277.000865205133
136,"Q1Y, Start age: 25",0.04928249862158651,4575.419848932128
137,"Q1Y, Start age: 25",0.1630756942464835,3166.8919180449157
138,"Q2Y, Start age: 25",0.07670525362322778,1914.9616021767142
139,"Q1Y, Start age: 25",0.14475647671793368,5776.660506922355
140,"Q2Y, Start age: 25",0.0735691712133324,1709.9048591452229
141,"Q2Y, Start age: 25",0.12791591863537022,6976.103924280655
142,"Q2Y, Start age: 25",0.06678935364946881,2483.2717749241674
143,"Q2Y, Start age: 30",0.1707973920094723,3223.6610091796283
144,"Q2Y, Start age: 35",0.05,0.0
145,"Q1Y, Start age: 25",0.08275583003428721,5098.793980146096
146,"Q1Y, Start age: 25",0.08858820806579715,3768.6167982134066
147,"Q1Y, Start age: 25",0.07581476981959412,3614.818447432368
148,"Q1Y, Start age: 25",0.0721074889917297,6032.265643207775
