,dom_strat,inc_cost,inc_eff
0,"Q3Y, Start age: 40",0.03558414327395454,0.6614630698732071
1,"Q3Y, Start age: 40",0.05,0.0
2,"Q2Y, Start age: 40",0.04519654560797193,321.7552930745769
3,"Q3Y, Start age: 40",0.05,0.0
4,"Q2Y, Start age: 40",0.015029381415054388,396.8355425094469
5,"Q3Y, Start age: 35",0.020845249297973822,1441.9229684098445
6,"Q2Y, Start age: 40",0.015455594312438592,403.61015104733997
7,"Q3Y, Start age: 40",0.05,0.0
8,"Q3Y, Start age: 35",0.012159421712294005,325.6625905085384
9,"Q3Y, Start age: 30",0.04134268909031036,3730.881527505686
10,"Q3Y, Start age: 40",0.05,0.0
11,"Q3Y, Start age: 40",0.05,0.0
12,"Q3Y, Start age: 35",0.006006238971359323,237.40845559181798
13,"Q2Y, Start age: 40",0.010735714824406273,427.70288678583165
14,"Q3Y, Start age: 40",0.05,0.0
15,"Q2Y, Start age: 40",0.05,0.0
16,"Q3Y, Start age: 40",0.05,0.0
17,"Q2Y, Start age: 40",0.026871028910949946,241.22809804463213
18,"Q2Y, Start age: 35",0.021689057326941708,1921.2474524167046
19,"Q3Y, Start age: 35",0.014968221116781422,959.836019404971
20,"Q2Y, Start age: 40",0.021065314930481804,691.7675746164368
21,"Q2Y, Start age: 40",0.03754042768703769,1142.693114945927
22,"Q3Y, Start age: 40",0.05,0.0
23,"Q3Y, Start age: 35",0.014988316846697103,902.9170848133108
24,"Q3Y, Start age: 40",0.05,0.0
25,"Q3Y, Start age: 35",0.06394497468109606,418.8863042948087
26,"Q3Y, Start age: 35",0.008580550631329231,646.6176235542189
27,"Q2Y, Start age: 40",0.048774216627034406,26.494589446690952
28,"Q2Y, Start age: 40",0.05,0.0
29,"Q3Y, Start age: 40",0.05,0.0
30,"Q3Y, Start age: 35",0.014516377840752881,988.1686627664822
31,"Q3Y, Start age: 40",0.05,0.0
32,"Q3Y, Start age: 35",0.01390213873892776,1222.377874878268
33,"Q2Y, Start age: 40",0.013063738951228032,387.6083492071921
34,"Q3Y, Start age: 40",0.024167099386790625,251.23306567910367
35,"Q3Y, Start age: 40",0.05,0.0
36,"Q3Y, Start age: 35",0.024243590089028544,280.3917604188928
37,"Q2Y, Start age: 40",0.0056732723517995964,280.6259890724341
38,"Q3Y, Start age: 40",0.05,0.0
39,"Q2Y, Start age: 40",0.04725791562480097,481.30079070689317
40,"Q3Y, Start age: 35",0.030042223861919126,149.7616487299656
