gene,Strategy,csy interval,csy start age,run type,QALYs,Life-years,CRC incidence,CRC death,cost,colonoscopies,csy comps
MLH1,"Q1Y, Start age: 25",1,25,D_matrix_MLH1_1_25_both_genders.csv,29.469496187741235,46.47698051631306,0.26711281086321575,0.03230132065841266,25976.72861295482,42.44538105806982,0.03823107509759827
MLH1,"Q1Y, Start age: 30",1,30,D_matrix_MLH1_1_30_both_genders.csv,29.337228245961438,46.23450475075201,0.2863656570941021,0.039798224678138656,24850.09149636275,35.90889310278916,0.03272704972527678
MLH1,"Q1Y, Start age: 35",1,35,D_matrix_MLH1_1_35_both_genders.csv,29.34243637399007,46.20831793314553,0.27808229186798755,0.04144096330553863,22274.597764991115,30.67577559389169,0.02827852458067198
MLH1,"Q1Y, Start age: 40",1,40,D_matrix_MLH1_1_40_both_genders.csv,29.01275005298175,45.63984166472427,0.32164338906498036,0.06168605271160756,23352.764071133817,24.707056893341804,0.023135252323253974
MLH1,"Q2Y, Start age: 25",2,25,D_matrix_MLH1_2_25_both_genders.csv,29.40030775668729,46.290697301589375,0.3259081648217671,0.0433126996245406,22802.606350031132,29.59364226324356,0.027879252561800825
MLH1,"Q2Y, Start age: 30",2,30,D_matrix_MLH1_2_30_both_genders.csv,29.161461556782708,45.89827981019341,0.3198575169116684,0.05312463858253887,23042.12228290292,24.831727374497255,0.02375269710859344
MLH1,"Q2Y, Start age: 35",2,35,D_matrix_MLH1_2_35_both_genders.csv,28.952382243996105,45.5467271793109,0.33883503473225984,0.0638442532716642,23569.806831775193,20.555417507054045,0.020002535353880926
MLH1,"Q2Y, Start age: 40",2,40,D_matrix_MLH1_2_40_both_genders.csv,28.82510128804498,45.34164400767035,0.3861386432343321,0.07459970692798093,24352.509802423632,17.042206700186107,0.016858469295385564
MLH1,"Q3Y, Start age: 25",3,25,D_matrix_MLH1_3_25_both_genders.csv,29.339412516256512,46.13819458301503,0.3540575850743667,0.05184891484467657,22397.46675181745,25.19879171136848,0.02432816580724127
MLH1,"Q3Y, Start age: 30",3,30,D_matrix_MLH1_3_30_both_genders.csv,29.282293052046985,46.02138372068657,0.3378580043564229,0.0544716986843519,21239.803063057174,21.617556680619263,0.02124912451724823
