Probability,Upper_MLH1_ICER,Lower_MLH1_ICER,Upper_MSH2_ICER,Lower_MSH2_ICER,Upper_MSH6_ICER,Lower_MSH6_ICER,Upper_PMS2_ICER,Lower_PMS2_ICER
current_to_init dx stage I,84562.08,66561.97,71014.5,71014.5,0,0,0,2927.77
current_to_init dx stage II,80972.33,69626.85,71014.5,71014.5,0,0,3379.48,2543.8
current_to_init dx stage III,85259.65,66740.71,71014.5,71014.5,0,0,0,0
current_to_init dx stage IV,76149.4,73805.74,71014.5,71014.5,0,0,4680.98,2819.92
new_to_init dx stage I,65743.82,85831.76,71612.9,70417.98,0,0,0,0
new_to_init dx stage II,66664.87,85070.22,66442,76111.96,0,0,3701.52,10662.72
new_to_init dx stage III,64380.55,89297.86,68588.68,73604.97,0,0,3816.11,0
new_to_init dx stage IV,72899.87,77135.3,69697.68,72379.78,0,0,2359.48,2976.22
new_to_csy death,72472.05,77627.92,71028.04,71000.97,0,0,313.34,2739.86
nono_to_init dx stage I,74960.05,74960.05,71014.5,71014.5,6343.34,0,2215.27,5107.28
nono_to_init dx stage II,74960.05,74960.05,71014.5,71014.5,0,0,2979.5,3226.67
nono_to_init dx stage III,74960.05,74960.05,71014.5,71014.5,0,0,1463.05,1347.79
nono_to_init dx stage IV,74960.05,74960.05,71014.5,71014.5,0,0,2337.71,1686.02
nono_to_all cause,74960.05,74960.05,71014.5,71014.5,0,0,5943.73,3340.86
init dx stage I_to_dx stage I,96186.26,61575.32,64190.42,79534.1,0,0,88.47,1000.64
init dx stage I_to_cancer death,74355.86,75574.47,71336.9,70695.1,0,0,514.22,719.53
init dx stage II_to_dx stage II,103445.96,58996.62,114888.19,51749.98,0,0,1267.99,2647.91
init dx stage II_to_cancer death,74664.54,75257.98,70636.48,71396.73,0,0,1533.36,4740.66
init dx stage III_to_dx stage III,78060.9,72108.95,73563.9,68645.68,0,0,1797.86,175.11
init dx stage III_to_cancer death,74761.04,75160.18,70851.25,71178.55,0,0,0,0
init dx stage IV_to_dx stage IV,74961.49,74958.6,71016.55,71012.45,0,0,4740.55,6853.35
init dx stage IV_to_cancer death,74944.94,74975.17,70993.27,71035.75,0,0,2863.49,2081.07
dx stage I_to_cancer death,74960.05,74960.05,71014.5,71014.5,0,0,2456.91,6405.44
dx stage II_to_cancer death,72483.33,77682.95,67893.26,74532.59,0,0,3526.07,255.8
dx stage III_to_dx stage III,242566.16,64112.24,168405.06,62043.41,0,0,5319.2,816.44
dx stage III_to_cancer death,73647.65,76445.35,69960.45,72199.22,0,0,2234.66,448.73
dx stage IV_to_dx stage IV,74960.17,74959.93,71014.67,71014.33,0,0,243.76,2595.53
dx stage IV_to_cancer death,74958.9,74961.42,71012.89,71016.41,0,0,0,0
