Parameter,Cost,Upper_Bound,Lower_Bound,Upper_MLH1_ICER,Median_MLH1,Lower_MLH1_ICER,Upper_MSH2_ICER,Median_MSH2,Lower_MSH2_ICER,Upper_MSH6_ICER,Median_MSH6,Lower_MSH6_ICER,Upper_PMS2_ICER,Median_PMS2,Lower_PMS2_ICER,Source,Range
csy_no_bx,979.14,1174.968,783.312,96743.73,74960.05,53176.36,90095.54,71014.5,51933.46,0,0,0,8123.6,2134.41,0,20,463-1006
csy_bx_polyp,1203,1443.6,962.4,74976.03,74960.05,74944.07,71024.89,71014.5,71004.11,0,0,0,2144.06,2134.41,2124.76,20,
csy_comp_perf,15567.97,18681.564,12454.376,74960.05,74960.05,74960.05,71014.5,71014.5,71014.5,0,0,0,2134.41,2134.41,2134.41,8,8647-22501
csy_bleed_transfus_comp,6021.21,7225.452,4816.968,74960.05,74960.05,74960.05,71014.5,71014.5,71014.5,0,0,0,2134.41,2134.41,2134.41,8,2900-7548
csy_bleed_no_transfus_comp,383.21,459.852,306.568,74960.05,74960.05,74960.05,71014.5,71014.5,71014.5,0,0,0,2134.41,2134.41,2134.41,8,300-500
csy_serosal_burn,6021.21,7225.452,4816.968,74960.05,74960.05,74960.05,71014.5,71014.5,71014.5,0,0,0,2134.41,2134.41,2134.41,8,2900-7548
colectomy,30673,36807.6,24538.4,74960.05,74960.05,74960.05,71014.5,71014.5,71014.5,0,0,0,2134.41,2134.41,2134.41,19,28920-540000
dx stage I,3347.95,4017.54,2678.36,73828.39,74960.05,76091.7,71552.77,71014.5,70476.23,0,0,0,1298.98,2134.41,2969.84,20,2410-5836
dx stage II,3150.37,3780.444,2520.296,73650.18,74960.05,76269.91,69210.1,71014.5,72818.9,0,0,0,1493.92,2134.41,2774.9,20,2296-5813
dx stage III,4413.81,5296.572,3531.048,74610.53,74960.05,75309.56,70711.02,71014.5,71317.98,0,0,0,1756.34,2134.41,2512.48,20,3217-6380
