age_5y,prob_death_5y_male_y,prob_death_5y_female_y,prob_death_5y_male_m,prob_death_5y_feamle_m
0,0.007296867980957031,0.006107125005722046,0.00061011549884471,0.0005103572041750271
5,0.0006969520817490187,0.0005857642541635523,5.8097901064591007e-05,4.8826798022205686e-05
10,0.0010052402766512107,0.0007381605745255696,8.380864365231666e-05,6.15342024588017e-05
15,0.004121296137796926,0.0016834219591217144,0.0003440917938853927,0.00014039351941574907
20,0.007065980251221195,0.0027110961133737,0.0005907473161668175,0.000226205894104492
25,0.00984805214951418,0.004056412688306122,0.0008243987426034272,0.0003386644941367756
30,0.012606253214596304,0.005666225433692081,0.0010566402111743534,0.00047341618551499653
35,0.014886043986826756,0.007546136941160857,0.0012490487149756646,0.0006310302403124135
40,0.018164958534579157,0.010107526219988837,0.001526497628182577,0.0008462212606431541
45,0.023162696106077206,0.013723442189019922,0.001951024856458039,0.0011508771583780275
50,0.032359231391243956,0.019735661108981797,0.002737443632000236,0.0016597053404727724
55,0.048673412969335784,0.030093371036638512,0.004149521931359423,0.0025430501985216347
60,0.0707155872514054,0.04452025280072479,0.006093064671778503,0.0037879501770687884
65,0.09782896474220897,0.06263980874446043,0.008542566397659823,0.005376135046555985
70,0.13631076663224506,0.09347595954569124,0.01213759277380444,0.008144794043461578
75,0.2043579282546217,0.15041792778602336,0.018870174034889997,0.013492378265519633
80,0.320050336492011,0.24629471925748814,0.03163355938393109,0.02328738611378678
85,0.4892137391361789,0.39813864369019447,0.05444542431253141,0.041428075245523166
90,0.6927386541012748,0.6065664769707663,0.09365753740830329,0.07479221129144409
95,0.8529438076870289,0.7979512675132828,0.1476389225026955,0.12477171548355592
100,1.0,1.0,1.0,1.0
