label,cost,qalys,incr_cost,incr_qalys,ICER
FIT Q2Y @ 25,3494.52442988747,22.600336663061007,,,
Colo Q6Y @ 35 + FIT Q3Y @ 38,6810.831091471336,22.741596050256547,3316.3066615838657,0.14125938719553943,23476.717033985442
Colo Q6Y @ 30 + FIT Q3Y @ 33,8877.923404702015,22.776845155645915,2067.092313230679,0.03524910538936865,58642.40497445722
Colo Q6Y @ 25 + FIT Q3Y @ 28,11281.630640677318,22.788697019683365,2403.707235975304,0.011851864037449644,202812.589511662
Colo Q4Y @ 35 + FIT Q2Y @ 37,9839.374397865437,22.80111610806087,-1442.2562428118817,0.012419088377505716,-116132.21510076318
Colo Q3Y @ 35,11555.556477849543,22.8248947434604,1716.1820799841062,0.0237786353995304,72173.278707911
Colo Q4Y @ 30 + FIT Q2Y @ 32,12812.804154418209,22.84578778827214,1257.247676568666,0.02089304481173926,60175.4166468954
Colo-None-FIT-FIT @ 30,13998.27410906198,22.86121173589406,1185.4699546437714,0.015423947621918899,76859.04955739772
Colo Q4Y @ 25 + FIT Q2Y @ 27,16299.95331838832,22.861251317871538,2301.6792093263393,3.958197747877534e-05,58149677.09889043
Colo Q2Y @ 35,17027.559449339322,22.866321039977567,727.6061309510023,0.005069722106028962,143519.9239196417
Colo Q3Y @ 30,15148.785378123102,22.87267549857675,-1878.7740712162195,0.006354458599183488,-295662.3356484896
Colo-FIT-FIT-FIT @ 30,15286.324250407226,22.874023178175612,137.5388722841235,0.0013476795988616175,102056.06169322615
Colo-None-FIT-FIT @ 25,17809.98000211466,22.87794240844545,2523.6557517074325,0.00391923026983676,643916.1717876162
Colo Q3Y @ 25,19240.193560355354,22.88984042177652,1430.2135582406954,0.01189801333106999,120206.08133846124
Colo-FIT-FIT-FIT @ 25,19444.551172807525,22.891054597126153,204.35761245217145,0.0012141753496344165,168309.80180391797
NH,39.46502227353256,22.903802893330525,-19405.086150533993,0.012748296204371456,-1522170.95048983
Colo Q2Y @ 30,22252.033688418345,22.919991775032965,22212.568666144813,0.016188881702440483,1372087.898004484
Colo Q2Y @ 25,28460.68040931151,22.93785464811678,6208.6467208931645,0.01786287308381418,347572.6828356024
