gene,sex,strategy,crc_incidents_total,crc_incidents_screen,crc_incidents_symptom,crc_deaths,screen_stage_1_count,screen_stage_1_pct,screen_stage_2_count,screen_stage_2_pct,screen_stage_3_count,screen_stage_3_pct,screen_stage_4_count,screen_stage_4_pct,symptom_stage_1_count,symptom_stage_1_pct,symptom_stage_2_count,symptom_stage_2_pct,symptom_stage_3_count,symptom_stage_3_pct,symptom_stage_4_count,symptom_stage_4_pct,total_stage_1_count,total_stage_1_pct,total_stage_2_count,total_stage_2_pct,total_stage_3_count,total_stage_3_pct,total_stage_4_count,total_stage_4_pct,per_person_crc_incidents_total,per_person_crc_incidents_screen,per_person_crc_incidents_symptom,per_person_crc_deaths,screening_colonoscopies,screening_alt_tests,per_person_screening_colonoscopies,per_person_screening_alt_tests,total_cost,total_cost_disc,total_qalys,total_qalys_disc,total_ly,per_person_cost,per_person_cost_disc,per_person_qalys,per_person_qalys_disc,per_person_ly,screening_cost,nonscreening_colo_cost,colo_complication_cost,crc_vs_NH_abs,crc_vs_NH_pct
PMS2,female,NH,7055.2316832320985,0.0,7055.2316832320985,0.0031043019406221234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4838.6887831368185,0.685829891970344,1426.7377357275732,0.20222407991483066,384.7548606678123,0.05453468829127817,405.0503036998946,0.05741133982354715,4838.6887831368185,0.685829891970344,1426.7377357275732,0.20222407991483066,384.7548606678123,0.05453468829127817,405.0503036998946,0.05741133982354715,0.07055231683232098,0.0,0.07055231683232098,3.104301940622124e-08,0.0,0.0,0.0,0.0,10613890.54425437,3946502.227353256,4164197.644797227,2290380.2893330525,4170491.3548043,106.1389054425437,39.46502227353256,41.64197644797227,22.903802893330525,41.704913548042995,0.0,10582847.524848148,31043.01940622124,0.0,0.0
PMS2,female,Colo Q2Y @ 25,4432.2059915704485,4348.891007012027,83.31498455842076,0.8098073738475341,4318.546774006039,0.9930225354102777,25.86385942789804,0.005947231003535359,3.1779736352871413,0.0007307549511273259,1.30239994280285,0.00029947863505958136,63.916912476975504,0.7671718696911807,15.328689800503632,0.1839847883516692,2.5657047221545843,0.030795237324391544,1.5036775587870388,0.018048104632758525,4382.4636864830145,0.9887770773330395,41.192549228401674,0.009293915785219644,5.743678357441725,0.001295896077114996,2.806077501589889,0.0006331108046256715,0.04432205991570449,0.043488910070120276,0.0008331498455842076,8.09807373847534e-06,1840387.9892143821,0.0,18.40387989214382,0.0,5529387013.858459,2846068040.931151,4181074.4247430637,2293785.464811678,4196160.902385848,55293.87013858459,28460.68040931151,41.81074424743064,22.93785464811678,41.96160902385848,5521163967.643147,124972.47683763114,8098073.73847534,2623.02569166165,37.17844869496909
PMS2,female,FIT Q2Y @ 25,24211.81163219858,23278.322422210258,933.4892099883166,0.09150317408545924,23048.977057284686,0.9901476850107227,184.918390860347,0.007943802285508044,29.649820535528107,0.0012737095052536384,14.777153529700819,0.0006348031985157864,726.5373454876511,0.7783028852542863,151.08632056236257,0.1618511697250936,33.495404896879975,0.03588194114991345,22.37013904142298,0.023964003870706723,23775.514402772336,0.9819799841476536,336.00471142270953,0.013877718715433368,63.14522543240808,0.0026080338964983973,37.1472925711238,0.0015342632404145545,0.2421181163219858,0.23278322422210257,0.009334892099883165,9.150317408545925e-07,207028.2700751463,1713258.7051834697,2.0702827007514633,17.132587051834697,691930423.9886148,349452442.988747,4053881.8247159338,2260033.666306101,4078017.65192014,6919.304239886148,3494.52442988747,40.53881824715934,22.600336663061007,40.7801765192014,689615158.4327776,1400233.814982475,915031.7408545925,-17156.579948966482,-243.17528777604673
PMS2,female,Colo Q2Y @ 30,4766.996347717071,4602.707409888495,164.28893782857637,0.6954176018276222,4552.355386932912,0.9890603467760287,40.94781822472269,0.008896463446003554,6.1009804725739425,0.001325519944949476,3.303224258287324,0.0007176698330184207,105.20922756057732,0.6403914283647968,41.27411772591199,0.25122883056787765,9.935580801294394,0.06047626171678981,7.870011740792659,0.047903479350535745,4657.564614493489,0.9770438814630119,82.22193595063467,0.01724816424288032,16.036561273868337,0.003364080881150306,11.173235999079983,0.002343873412957591,0.047669963477170715,0.04602707409888495,0.0016428893782857636,6.954176018276223e-06,1580330.2606704035,0.0,15.803302606704035,0.0,4748191391.43623,2225203368.8418345,4174980.583408177,2291999.1775032966,4189074.95527662,47481.913914362296,22252.033688418345,41.74980583408177,22.919991775032965,41.8907495527662,4740990782.01121,246433.40674286455,6954176.018276222,2288.235335515027,32.4331707058379
PMS2,female,Colo Q2Y @ 35,5823.43068589776,5398.420722058131,425.009963839629,0.5883683347616407,5303.596434693037,0.9824348096883893,73.94277509849712,0.013697112341830717,12.73791048602067,0.002359562387194672,8.14360178057658,0.001508515582585393,231.49503661132778,0.5446814341008694,121.85318981635214,0.28670666615790585,37.26906625447928,0.0876898647687756,34.392671157469834,0.08092203497244922,5535.091471304365,0.9504863661738693,195.79596491484926,0.03362209932179603,50.00697674049995,0.008587202190213878,42.536272938046416,0.00730433231412093,0.0582343068589776,0.05398420722058131,0.00425009963839629,5.883683347616408e-06,1336775.7508580713,0.0,13.367757508580713,0.0,4016848450.8675895,1702755944.9339323,4158298.8635503026,2286632.1039977567,4172382.3289061766,40168.484508675894,17027.559449339322,41.58298863550303,22.866321039977567,41.72382328906177,4010327252.574214,637514.9457594434,5883683.347616408,1231.8009973343387,17.459398254233285
PMS2,female,Colo Q3Y @ 25,7433.0216359795295,7232.476645918799,200.54499006073144,0.5375354681616091,7176.649048868978,0.9922809848157168,46.292451763797004,0.006400636190082866,6.45151782491593,0.000892020554059645,3.08362746110805,0.0004263584401407096,149.6187318506856,0.7460606809742605,38.39353935085778,0.19144601587519583,7.465513400365127,0.037226127653970965,5.067205458822926,0.025267175496572685,7326.267780719663,0.9856378925707515,84.68599111465478,0.01139321197515858,13.917031225281058,0.0018723248642134565,8.150832919930975,0.0010965705898765155,0.0743302163597953,0.07232476645918799,0.0020054499006073143,5.375354681616092e-06,1221470.9735590508,0.0,12.214709735590509,0.0,3670089092.8438597,1924019356.0355353,4161913.8558520796,2288984.042177652,4176374.831703517,36700.890928438595,19240.193560355354,41.619138558520795,22.88984042177652,41.76374831703517,3664412920.677152,300817.4850910971,5375354.68161609,-377.789952747431,-5.354749067210792
PMS2,female,Colo Q3Y @ 30,7806.808244489114,7546.228165291424,260.5800791976892,0.4694479283707478,7471.509690025556,0.9900985666442563,60.675219933002,0.008040469835258262,9.111628408941405,0.0012074414143545217,4.931626923925921,0.0006535221061309467,179.58714712295296,0.6891821802951755,55.73883906813141,0.21390291706007625,14.172349074260596,0.054387691944435775,11.081743932344267,0.042527210700312575,7651.096837148509,0.980054408605396,116.41405900113341,0.014911863511353821,23.283977483202,0.0029825220184751355,16.01337085627019,0.002051205864775038,0.07806808244489115,0.07546228165291424,0.002605800791976892,4.6944792837074775e-06,1066666.5298543198,0.0,10.666665298543197,0.0,3205084938.9654636,1514878537.8123102,4156361.3592422996,2287267.549857675,4170383.3278466826,32050.849389654635,15148.785378123102,41.563613592422996,22.87267549857675,41.703833278466824,3199999589.5629597,390870.11879653385,4694479.283707477,-751.5765612570158,-10.652755217709707
PMS2,female,Colo Q3Y @ 35,8651.414044471483,8126.955290147175,524.4587543243063,0.3933011992559484,8013.854557942432,0.9860832589614634,88.76080041277736,0.010921777866846115,14.980325254055312,0.0018432887495046164,9.359606537911242,0.0011516744221859432,305.92108210580665,0.5833081812123516,139.1637693895775,0.2653474048094994,41.50527487233012,0.07913925457456425,37.86862795659198,0.07220515940358466,8319.775640048238,0.9616665665614313,227.92456980235488,0.026345354485490798,56.485600126385435,0.0065290598549587915,47.22823449450322,0.005459019098118821,0.08651414044471482,0.08126955290147175,0.005244587543243063,3.9330119925594845e-06,893341.9031910128,0.0,8.933419031910129,0.0,2684745409.697085,1155555647.7849543,4141817.2322627855,2282489.4743460403,4156004.7539367164,26847.45409697085,11555.556477849543,41.41817232262785,22.8248947434604,41.56004753936716,2680025709.5730386,786688.1314864592,3933011.9925594833,-1596.1823612393846,-22.624095606002147
PMS2,female,Colo Q4Y @ 25 + FIT Q2Y @ 27,9081.024941829965,8860.8955024291,220.12943940086382,0.44820280433403975,8791.294282337109,0.9921451257299093,58.07607670098897,0.006554199480748662,7.9864181329437995,0.0009013104974270857,3.538725258059128,0.00039936429191485577,170.12211850254602,0.7728276552449097,38.31621485162934,0.1740622015661163,7.24960433072829,0.0329333702500668,4.441501715960152,0.02017677293890716,8961.416400839655,0.9868287399543022,96.3922915526183,0.010614692963633,15.23602246367209,0.0016777866552805437,7.98022697401928,0.0008787804267841977,0.09081024941829964,0.088608955024291,0.002201294394008638,4.482028043340398e-06,1018422.6076834166,882279.5409780755,10.184226076834166,8.822795409780754,3095371226.891814,1629995331.838832,4151080.0153077273,2286125.131787154,4165953.9372040113,30953.71226891814,16299.95331838832,41.51080015307727,22.861251317871538,41.659539372040115,3090559004.689373,330194.15910129575,4482028.043340396,-2025.793258597866,-28.713348470362664
PMS2,female,Colo Q4Y @ 30 + FIT Q2Y @ 32,9338.80707657849,9051.299233058548,287.5078435199422,0.38912796172531017,8965.876698220161,0.990562400751663,69.71283535489898,0.007701970022191184,10.397120694529967,0.0011486882078272258,5.312578788956451,0.0005869410183184568,203.45630329333756,0.7076547923090849,59.47411461382731,0.20686084207543387,14.07575730830038,0.04895782019708292,10.501668304476976,0.0365265454183985,9169.3330015135,0.9818527062744419,129.1869499687263,0.013833346048311048,24.47287800283035,0.002620557187031709,15.814247093433426,0.0016933904902153068,0.09338807076578491,0.09051299233058548,0.0028750784351994217,3.8912796172531015e-06,884094.2233503668,744993.7760728524,8.840942233503668,7.449937760728524,2686404962.4765472,1281280415.4418209,4146240.439452127,2284578.778827214,4160705.511146082,26864.049624765474,12812.804154418209,41.46240439452127,22.84578778827214,41.607055111460824,2682082421.094014,431261.7652799133,3891279.6172531024,-2283.575393346392,-32.36712124952153
