label,cost,qalys,incr_cost,incr_qalys,ICER
FIT Q2Y @ 25,3329.2224013019754,22.465141818014228,,,
Colo Q6Y @ 30 + FIT Q3Y @ 33,8636.744562917831,22.50545126040523,5307.522161615856,0.04030944239100265,131669.45129463097
Colo Q6Y @ 25 + FIT Q3Y @ 28,11032.027399128452,22.516528886924828,2395.282836210621,0.011077626519597317,216227.0800494267
Colo Q6Y @ 35 + FIT Q3Y @ 38,6632.86096172168,22.517684354917673,-4399.166437406772,0.0011554679928451606,-3807259.4521415588
Colo Q4Y @ 30 + FIT Q2Y @ 32,12365.301088492692,22.528772831197088,5732.440126771012,0.011088476279415005,516972.7546257093
Colo Q4Y @ 35 + FIT Q2Y @ 37,9487.285454506486,22.5346995918955,-2878.015633986206,0.005926760698411471,-485596.7332640224
Colo-None-FIT-FIT @ 30,13471.638483618217,22.536548903584297,3984.3530291117313,0.0018493116887974281,2154505.9457784966
Colo-FIT-FIT-FIT @ 30,14695.032365002859,22.544907446565173,1223.3938813846416,0.008358542980875683,146364.49010117704
Colo Q3Y @ 30,14593.383725493388,22.54636936706408,-101.64863950947074,0.0014619204989081425,-69530.89418021607
Colo Q3Y @ 35,11123.479142744687,22.54638092854828,-3469.9045827487007,1.1561484200228733e-05,-300126222.78029424
Colo Q4Y @ 25 + FIT Q2Y @ 27,15848.321465800065,22.550726521771914,4724.842323055378,0.004345593223632704,1087272.1122078793
Colo-None-FIT-FIT @ 25,17282.846036440704,22.56201463637937,1434.5245706406386,0.011288114607456379,127082.74326813279
Colo Q3Y @ 25,18686.26044787404,22.57149751901934,1403.4144114333358,0.009482882639968437,147994.49331137212
Colo-FIT-FIT-FIT @ 25,18857.884092818542,22.57341494016788,171.6236449445023,0.0019174211485406545,89507.53728523581
Colo Q2Y @ 35,16319.334249939857,22.57813898923049,-2538.549842878685,0.004724049062609481,-537367.3747318016
Colo Q2Y @ 30,21378.128512905365,22.58598698060777,5058.794262965508,0.007847991377282426,644597.3268534922
Colo Q2Y @ 25,27592.250068458456,22.62469241469821,6214.121555553091,0.03870543409043847,160549.07280030183
NH,69.47716283372266,22.761446662319997,-27522.772905624734,0.13675424762178778,-201257.17032016916
