gene,sex,strategy,crc_incidents_total,crc_deaths,crc_vs_NH_pct,per_person_screening_alt_tests,total_ly,per_person_ly,per_person_qalys_disc,total_stage_1_pct,total_stage_2_pct,total_stage_3_pct,total_stage_4_pct
PMS2,female,NH,13830.701945917812,0.006085508856203836,0.0,0.0,4127749.577115041,41.27749577115041,22.761446662319997,0.45008740974219186,0.4342710038577124,0.054914658523116985,0.06072692787697866
PMS2,female,Colo Q2Y @ 25,13927.473676734335,0.7770430698898599,-0.6996877757537496,0.0,4116102.0198846334,41.16102019884633,22.62469241469821,0.9732808970686861,0.022727728537198833,0.002306609627012994,0.0016847647671020154
PMS2,female,FIT Q2Y @ 25,24782.337496361368,0.08560641338942464,-79.18351211144403,17.028866019122802,4053978.253103679,40.53978253103679,22.465141818014228,0.9411587649285621,0.04926678270196436,0.00543392171861172,0.004140530650861948
PMS2,female,Colo Q2Y @ 30,14563.332957247458,0.661976079568641,-5.297135417959642,0.0,4102963.295499283,41.02963295499283,22.58598698060777,0.9599761878700008,0.03218688694702678,0.003956625436535532,0.0038802997464366593
PMS2,female,Colo Q2Y @ 35,15276.486955265842,0.5588260817130144,-10.45344636159092,0.0,4096160.244441672,40.96160244441672,22.57813898923049,0.9518296577170018,0.03743090874816147,0.005098926237777002,0.005640507297059957
PMS2,female,Colo Q3Y @ 25,17309.61189293522,0.5171409085777692,-25.153531329219497,0.0,4095203.9237198,40.952039237198,22.57149751901934,0.9621729665182228,0.03195606874716049,0.003337493931279876,0.002533470803336982
PMS2,female,Colo Q3Y @ 30,17997.752049788967,0.44791781705157085,-30.12898492184684,0.0,4086309.045199032,40.86309045199032,22.54636936706408,0.9568170436604265,0.035016101536513175,0.004221655488769917,0.003945199314290552
PMS2,female,Colo Q3Y @ 35,18392.342937853282,0.37537258906829296,-32.9819918741135,0.0,4082253.2164388285,40.822532164388285,22.54638092854828,0.9475166064771898,0.041598431050707714,0.005353908417511138,0.005531054054590942
PMS2,female,Colo Q4Y @ 25 + FIT Q2Y @ 27,18768.7873465406,0.4318176410822865,-35.70379449960083,8.441503188612424,4087377.887772669,40.87377887772669,22.550726521771914,0.9645351909034313,0.03011502958428539,0.0031083092382621744,0.0022414702740212573
PMS2,female,Colo Q4Y @ 30 + FIT Q2Y @ 32,19265.06122259203,0.37230450938915993,-39.29199904621032,7.091086120210325,4079389.628767535,40.79389628767535,22.528772831197088,0.9568136769594268,0.035310137313250965,0.0041459100177726905,0.0037302757095496633
PMS2,female,Colo Q4Y @ 35 + FIT Q2Y @ 37,19699.573937645768,0.315896664738028,-42.433652425430054,5.946732089863415,4077325.0406909846,40.773250406909845,22.5346995918955,0.9504326009992775,0.0394487237111441,0.005023630723484052,0.005095044566094546
PMS2,female,Colo Q6Y @ 25 + FIT Q3Y @ 28,21280.626455479207,0.29589182948736464,-53.8651222381397,5.499660926482378,4073631.486902358,40.73631486902358,22.516528886924828,0.9505358429907339,0.04136600484527013,0.0045076657948626055,0.003590486369133319
PMS2,female,Colo Q6Y @ 30 + FIT Q3Y @ 33,21631.60019117283,0.2554542610323012,-56.40276448555445,4.7847497301362,4069092.5507427296,40.690925507427295,22.50545126040523,0.9451132078073714,0.04488019332749059,0.005265540206975426,0.004741058658162384
PMS2,female,Colo Q6Y @ 35 + FIT Q3Y @ 38,21612.270640630577,0.21583356384488322,-56.26300620995976,3.983481879327678,4069315.4774649944,40.69315477464995,22.517684354917673,0.9366290740023663,0.050947463841809947,0.006286047471327952,0.006137414684495927
PMS2,female,Colo-None-FIT-FIT @ 25,17959.02745399097,0.46911053512731526,-29.84899482481907,16.598250931895855,4091714.465839875,40.91714465839875,22.56201463637937,0.9699853715092598,0.025804096370458936,0.0025278203667077675,0.0016827117535732458
PMS2,female,Colo-None-FIT-FIT @ 30,18515.89588709641,0.40411493221610884,-33.87531565280713,14.040794769703963,4082677.0829458972,40.82677082945897,22.536548903584297,0.9615641444846595,0.03146805336213914,0.0036640229579849247,0.0033037791952163094
PMS2,female,Colo-FIT-FIT-FIT @ 25,17292.07073718081,0.5085863844957101,-25.02670366838926,25.306363148896885,4095884.295276317,40.95884295276317,22.57341494016788,0.9731528288944813,0.02319872830806295,0.002209876706967253,0.0014385660904883833
PMS2,female,Colo-FIT-FIT-FIT @ 30,17910.813273588217,0.4380430113366912,-29.500392269494803,21.511705397298844,4086012.3307678695,40.8601233076787,22.544907446565173,0.9643820298153888,0.029077442707256203,0.0034029772468549043,0.003137550230500241
