label,cost,qalys,incr_cost,incr_qalys,ICER
Colo-FIT-FIT-FIT @ 25,2620.552677909702,12.359473621034368,,,
Colo Q2Y @ 25,2615.9770636023936,12.368660043676416,-4.5756143073085696,0.009186422642047276,-498.0844541557967
Colo-None-FIT-FIT @ 25,2615.6806209587016,12.379818731884761,-0.29644264369198936,0.011158688208345424,-26.566083589492546
Colo Q4Y @ 25 + FIT Q2Y @ 27,2613.7852712182926,12.38548971380393,-1.895349740409074,0.005670981919168483,-334.21897079280103
Colo Q3Y @ 25,2611.043981983107,12.39076705206473,-2.741289235185377,0.005277338260800235,-519.4454286827729
Colo Q6Y @ 25 + FIT Q3Y @ 28,2607.1343066519366,12.414256906573392,-3.909675331170547,0.02348985450866259,-166.44101945070528
FIT Q2Y @ 25,2537.872460001036,12.964631315787994,-69.26184665090068,0.5503744092146015,-125.8449620681658
Colo-FIT-FIT-FIT @ 30,2147.6485603893702,14.479135516717834,-390.22389961166573,1.5145042009298404,-257.65785223447057
Colo Q2Y @ 30,2143.8249034093983,14.48645069819713,-3.823656979971929,0.007315181479295774,-522.7015885790477
Colo-None-FIT-FIT @ 30,2143.451508229892,14.495287281317925,-0.373395179506133,0.008836583120794828,-42.25560653952713
Colo Q4Y @ 30 + FIT Q2Y @ 32,2141.850049534033,14.499762514876256,-1.601458695859037,0.0044752335583311265,-357.8491882010829
Colo Q3Y @ 30,2139.567396183019,14.503958803706235,-2.2826533510142326,0.004196288829978911,-543.9695510725138
Colo Q6Y @ 30 + FIT Q3Y @ 33,2136.145265450575,14.522401802581484,-3.4221307324437475,0.018442998875249472,-185.55175086174577
Colo Q2Y @ 35,1736.1151503327703,16.16494543000606,-400.0301151178048,1.6425436274245762,-243.54306846937845
Colo Q4Y @ 35 + FIT Q2Y @ 37,1734.387429306221,16.175211363364795,-1.7277210265492613,0.010265933358734713,-168.29653633775436
Colo Q3Y @ 35,1732.5065821157998,16.178472915209184,-1.8808471904212638,0.0032615518443890323,-576.6724798984736
Colo Q6Y @ 35 + FIT Q3Y @ 38,1729.5377428374713,16.192569027819413,-2.96883927832846,0.014096112610229028,-210.61404377360628
NH,72.25892395665342,20.082153372891547,-1657.2788188808179,3.8895843450721337,-426.08121378843197
