gene,Strategy,csy interval,csy start age,run type,QALYs,Life-years,CRC incidence,CRC death,cost,colonoscopies,csy comps
MLH1,"Q1Y, Start age: 25",1,25,D_matrix_MLH1_1_25_both_genders.csv,29.50940016825424,46.47698051631306,0.26711281086321575,0.03230132065841266,37059.37626522449,42.44538105806982,0.03823107509759827
MLH1,"Q1Y, Start age: 30",1,30,D_matrix_MLH1_1_30_both_genders.csv,29.31607962557607,46.14708273902893,0.2849656108477713,0.04225146784436115,34520.56958000551,35.601886255828106,0.03244937585485323
MLH1,"Q1Y, Start age: 35",1,35,D_matrix_MLH1_1_35_both_genders.csv,29.166104638283453,45.877942275655506,0.3030687214156934,0.05141916501744176,31464.757458305754,30.039264413455488,0.027686377113227967
MLH1,"Q1Y, Start age: 40",1,40,D_matrix_MLH1_1_40_both_genders.csv,28.96911549560861,45.5288795080178,0.3316349496187451,0.0648832002922865,29672.553600921092,24.392714544140794,0.022848351428910788
MLH1,"Q2Y, Start age: 25",2,25,D_matrix_MLH1_2_25_both_genders.csv,29.43675733091835,46.290697301589375,0.3259081648217675,0.04331269962454067,30031.63706620013,29.593642263243552,0.027879252561800818
MLH1,"Q2Y, Start age: 30",2,30,D_matrix_MLH1_2_30_both_genders.csv,29.25324294620283,45.9852741678639,0.3411305167037056,0.0524113454339605,28837.39693154003,24.866916535482915,0.023792892704769183
MLH1,"Q2Y, Start age: 35",2,35,D_matrix_MLH1_2_35_both_genders.csv,29.10363602724423,45.73359259684337,0.35684539789701697,0.06088873920480793,27885.369589043254,20.5012950027721,0.019987911441358558
MLH1,"Q2Y, Start age: 40",2,40,D_matrix_MLH1_2_40_both_genders.csv,28.916111298793663,45.40993738203798,0.38138668676128507,0.07324206340015549,27163.110568327073,17.289066501979367,0.01710488823886133
MLH1,"Q3Y, Start age: 25",3,25,D_matrix_MLH1_3_25_both_genders.csv,29.361094666226684,46.13819458301503,0.3540575850743667,0.05184891484467657,28133.14342875394,25.19879171136848,0.02432816580724127
MLH1,"Q3Y, Start age: 30",3,30,D_matrix_MLH1_3_30_both_genders.csv,29.187001601969385,45.85423548183027,0.3680544662397275,0.06020686588112833,27679.353927618202,21.18331149793704,0.02081177020188107
MLH1,"Q3Y, Start age: 35",3,35,D_matrix_MLH1_3_35_both_genders.csv,29.047472643993565,45.6176727486053,0.3826514015413891,0.06809548065469681,26517.427320517654,17.523901725395945,0.01757196879915597
MLH1,"Q3Y, Start age: 40",3,40,D_matrix_MLH1_3_40_both_genders.csv,28.864802901579463,45.315784153194095,0.4053099192936233,0.07951054399273448,27130.81361431803,14.264915014603355,0.014655305573376685
MLH1,"Q4Y, Start age: 25",4,25,D_matrix_MLH1_4_25_both_genders.csv,28.723741115086074,45.15160552707676,0.5717016475908853,0.10758030390061642,35679.26915808513,19.94583739163535,0.019809442860333794
MLH1,"Q4Y, Start age: 30",4,30,D_matrix_MLH1_4_30_both_genders.csv,28.63398529315259,44.991586199201606,0.577106808548292,0.1120896329015391,34343.17095540137,16.151397408900397,0.016478864818437453
MLH1,"Q4Y, Start age: 35",4,35,D_matrix_MLH1_4_35_both_genders.csv,28.54850130208495,44.84403162480855,0.5837286825177255,0.11679479125653862,33424.11303304107,13.623810251663377,0.014146545661770815
MLH1,"Q4Y, Start age: 40",4,40,D_matrix_MLH1_4_40_both_genders.csv,28.44933914606012,44.67193349562937,0.5930049133240102,0.12305275672578388,33074.51014405401,11.537344413472432,0.012201704511810605
MLH1,"Q5Y, Start age: 25",5,25,D_matrix_MLH1_5_25_both_genders.csv,28.319623577275422,44.51769403227427,0.6798773567590954,0.13953430958651974,40132.02780030518,16.968570645929667,0.01722483466720047
MLH1,"Q5Y, Start age: 30",5,30,D_matrix_MLH1_5_30_both_genders.csv,28.281254211757364,44.44097713982464,0.6817554485690308,0.1417895144044227,39249.74999691279,13.308367993080635,0.014007815723860895
MLH1,"Q5Y, Start age: 35",5,35,D_matrix_MLH1_5_35_both_genders.csv,28.234622092224136,44.3523279342955,0.6849825508615206,0.14465365563181856,37827.1973012442,10.905025724387093,0.01177641235858956
MLH1,"Q5Y, Start age: 40",5,40,D_matrix_MLH1_5_40_both_genders.csv,28.189053283067643,44.264357600114245,0.6886239437739338,0.14798101454500653,36861.687100712195,9.037114346086568,0.010028183066832435
MSH2,"Q1Y, Start age: 25",1,25,D_matrix_MSH2_1_25_both_genders.csv,29.702405636475795,46.73431164984237,0.1327080724564352,0.015677296775525044,32769.91412751256,44.81649746137495,0.04027602297809641
MSH2,"Q1Y, Start age: 30",1,30,D_matrix_MSH2_1_30_both_genders.csv,29.631140334338035,46.58878195059718,0.1422609374045041,0.02036220398205388,29275.831250184205,38.423741130354934,0.03492254684319425
MSH2,"Q1Y, Start age: 35",1,35,D_matrix_MSH2_1_35_both_genders.csv,29.575462511804723,46.466774349089256,0.15233931909333567,0.024815242416485382,25361.444443934688,33.157346042335064,0.030456391639238387
MSH2,"Q1Y, Start age: 40",1,40,D_matrix_MSH2_1_40_both_genders.csv,29.472256289213853,46.26780631337812,0.1712292896464111,0.032817920639273655,22621.459684772035,27.754784030712166,0.025879120673315967
MSH2,"Q2Y, Start age: 25",2,25,D_matrix_MSH2_2_25_both_genders.csv,29.694298846576412,46.642824464601695,0.16566876123142465,0.02132673739027127,24523.39601150766,31.993783070720802,0.02998290887813877
MSH2,"Q2Y, Start age: 30",2,30,D_matrix_MSH2_2_30_both_genders.csv,29.624096602869926,46.507664097649815,0.1741836645955921,0.025666028338882364,22362.969193823836,27.498260100589142,0.026147504864348754
MSH2,"Q2Y, Start age: 35",2,35,D_matrix_MSH2_2_35_both_genders.csv,29.56213517529756,46.39236829626594,0.18340309986759118,0.02986601251669724,20588.26994444589,23.244325567775263,0.022490573785929665
MSH2,"Q2Y, Start age: 40",2,40,D_matrix_MSH2_2_40_both_genders.csv,29.461643016621807,46.20780924548055,0.20019081612729067,0.03726570818539599,18968.975670068845,20.16392116952517,0.019775745392782842
MSH2,"Q3Y, Start age: 25",3,25,D_matrix_MSH2_3_25_both_genders.csv,29.66635081338402,46.56828317906949,0.18206259414936457,0.02565184807412127,22005.402910314442,27.60410863729934,0.026453437123232924
MSH2,"Q3Y, Start age: 30",3,30,D_matrix_MSH2_3_30_both_genders.csv,29.59819424001346,46.44226599683251,0.19007031913952477,0.02968659848228593,20605.39986284304,23.738458942912217,0.023122076470959728
MSH2,"Q3Y, Start age: 35",3,35,D_matrix_MSH2_3_35_both_genders.csv,29.541020349790667,46.33282153560875,0.1988687436075784,0.033667964652068595,18622.199672285686,20.13177890228652,0.019982570761507935
MSH2,"Q3Y, Start age: 40",3,40,D_matrix_MSH2_3_40_both_genders.csv,29.43974875979849,46.16069836467712,0.21462771956792584,0.04054987565444582,18418.298031896273,16.914258028910297,0.017160438481632755
MSH2,"Q4Y, Start age: 25",4,25,D_matrix_MSH2_4_25_both_genders.csv,29.331802071769395,46.04953130384084,0.3267113047495279,0.05743952585303211,25717.84139925058,23.70031963202687,0.023162543015168367
MSH2,"Q4Y, Start age: 30",4,30,D_matrix_MSH2_4_30_both_genders.csv,29.30185078769854,45.97886329737868,0.330528556439375,0.05975586626271412,23855.054368888927,19.8364476255856,0.019834005129382624
MSH2,"Q4Y, Start age: 35",4,35,D_matrix_MSH2_4_35_both_genders.csv,29.264254946452905,45.905605996926326,0.33580744737407553,0.062452085262588636,22465.74545813038,17.192114137176343,0.01746080131078035
MSH2,"Q4Y, Start age: 40",4,40,D_matrix_MSH2_4_40_both_genders.csv,29.21377881514362,45.811778557857,0.34302297421412237,0.06624719360840214,21627.47077990505,15.020275578851733,0.015497757686018394
MSH2,"Q5Y, Start age: 25",5,25,D_matrix_MSH2_5_25_both_genders.csv,29.099709718521044,45.68705517270421,0.4163846172362421,0.07832024267142765,28318.21162563445,21.325345312915424,0.02114608387423195
MSH2,"Q5Y, Start age: 30",5,30,D_matrix_MSH2_5_30_both_genders.csv,29.091818544732295,45.65614809931346,0.41789330613240727,0.07948901002458572,27167.23171175558,17.484967012708847,0.01783738183993022
MSH2,"Q5Y, Start age: 35",5,35,D_matrix_MSH2_5_35_both_genders.csv,29.071655839499517,45.60867772894379,0.4211896079569101,0.08133324637964487,25466.16056156729,14.861284501547155,0.015478247181462002
MSH2,"Q5Y, Start age: 40",5,40,D_matrix_MSH2_5_40_both_genders.csv,29.056582952379273,45.5699198366668,0.42365813920425743,0.08310635043826489,24168.58859700607,12.814748915107208,0.01363107229554641
MSH6,"Q1Y, Start age: 25",1,25,D_matrix_MSH6_1_25_both_genders.csv,29.837724171871457,46.9155406536699,0.043784869188346204,0.004293881413273854,29827.919355934093,46.45800785422491,0.0416953743679064
MSH6,"Q1Y, Start age: 30",1,30,D_matrix_MSH6_1_30_both_genders.csv,29.844669339763897,46.88773904123368,0.04641030326787957,0.00549238915475406,25685.794460767604,40.375694544396595,0.036635887158991264
MSH6,"Q1Y, Start age: 35",1,35,D_matrix_MSH6_1_35_both_genders.csv,29.853689620506458,46.86578870338903,0.04901416647478216,0.0066077810921600305,21134.513143136337,35.35072148398951,0.0324074412450685
MSH6,"Q1Y, Start age: 40",1,40,D_matrix_MSH6_1_40_both_genders.csv,29.86371346599206,46.84784991281178,0.051740474503240805,0.007656997892106994,17253.54513286899,30.382813519493478,0.028256343152219657
MSH6,"Q2Y, Start age: 25",2,25,D_matrix_MSH6_2_25_both_genders.csv,29.87883245919085,46.896070510676154,0.055416096496349085,0.005786240412479326,20637.178055444732,33.69231128651522,0.03147563941724135
MSH6,"Q2Y, Start age: 30",2,30,D_matrix_MSH6_2_30_both_genders.csv,29.88198341771529,46.87071631496547,0.057819165104245514,0.006906609839459579,17808.975233874422,29.362917110357895,0.02781867852755479
MSH6,"Q2Y, Start age: 35",2,35,D_matrix_MSH6_2_35_both_genders.csv,29.881931614278724,46.85076862419941,0.06020285607572226,0.007950309150680962,15391.753793815478,25.22168681801603,0.024297394131346652
MSH6,"Q2Y, Start age: 40",2,40,D_matrix_MSH6_2_40_both_genders.csv,29.886722165015673,46.834140897498386,0.06274943617539697,0.008946721844579142,12668.994908423347,22.412649890675436,0.021873512454513196
MSH6,"Q3Y, Start age: 25",3,25,D_matrix_MSH6_3_25_both_genders.csv,29.887461964833733,46.88080831736192,0.061327634553109356,0.006847518311943757,17622.308523627944,29.326979475062767,0.02797969590757163
MSH6,"Q3Y, Start age: 30",3,30,D_matrix_MSH6_3_30_both_genders.csv,29.88848230380134,46.857623066193916,0.0636184684104383,0.007898070169193595,15561.12266819075,25.572235530541015,0.024782553175569672
MSH6,"Q3Y, Start age: 35",3,35,D_matrix_MSH6_3_35_both_genders.csv,29.890938848089096,46.83943331884602,0.06589101144388546,0.008878478546140755,12923.17657843842,22.03482314979026,0.021744408918032976
MSH6,"Q3Y, Start age: 40",3,40,D_matrix_MSH6_3_40_both_genders.csv,29.888241170260464,46.823943946335476,0.06834681925187894,0.009829012039801695,11684.632496897044,18.990557289998183,0.0191324053955956
MSH6,"Q4Y, Start age: 25",4,25,D_matrix_MSH6_4_25_both_genders.csv,29.81612872386706,46.76382861870557,0.11771610325784014,0.016055498562172827,17600.715127929143,26.74676458152463,0.025879480596854573
MSH6,"Q4Y, Start age: 30",4,30,D_matrix_MSH6_4_30_both_genders.csv,29.827159779301073,46.75422477339651,0.11896355280156713,0.016689338612058388,15334.891044139002,22.83452094550035,0.022557312596918958
MSH6,"Q4Y, Start age: 35",4,35,D_matrix_MSH6_4_35_both_genders.csv,29.832818696144898,46.74728627182138,0.12020213135262398,0.017281203975501164,13451.431500395956,20.14337621848868,0.02019703779907999
MSH6,"Q4Y, Start age: 40",4,40,D_matrix_MSH6_4_40_both_genders.csv,29.835483908316608,46.739258368957636,0.12181208068693918,0.017940342196460554,12073.642138564,17.95711277633194,0.018272048138668655
