Parameter,Cost,Range,Source,Upper_Bound,Lower_Bound,Upper_MLH1_ICER,Lower_MLH1_ICER,Upper_MSH2_ICER,Lower_MSH2_ICER,Upper_MSH6_ICER,Lower_MSH6_ICER,Upper_PMS2_ICER,Lower_PMS2_ICER,Upper_MLH1_OPT_ICER,Lower_MLH1_OPT_ICER,Upper_MSH2_OPT_ICER,Lower_MSH2_OPT_ICER,Upper_MSH6_OPT_ICER,Lower_MSH6_OPT_ICER,Upper_PMS2_OPT_ICER,Lower_PMS2_OPT_ICER,Upper_MLH1_OPT_STRAT,Lower_MLH1_OPT_STRAT,Upper_MSH2_OPT_STRAT,Lower_MSH2_OPT_STRAT,Upper_MSH6_OPT_STRAT,Lower_MSH6_OPT_STRAT,Upper_PMS2_OPT_STRAT,Lower_PMS2_OPT_STRAT
csy_no_bx,979.14,463-1006,20,1174.968,783.312,88054.57,49570.54,90462.26,52156.18,0,0,8123.6,0,88054.57,49570.54,90462.26,52156.18,0,0,8123.6,0,"Q1Y, Start age: 25","Q1Y, Start age: 25","Q2Y, Start age: 25","Q2Y, Start age: 25","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40"
csy_bx_polyp,1203,,20,1443.6,962.4,68829.7,68795.41,71319.62,71298.81,0,0,2144.06,2124.76,68829.7,68795.41,71319.62,71298.81,0,0,2144.06,2124.76,"Q1Y, Start age: 25","Q1Y, Start age: 25","Q2Y, Start age: 25","Q2Y, Start age: 25","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40"
csy_comp_perf,15567.97,8647-22501,8,18681.564,12454.376,68812.56,68812.56,71309.22,71309.22,0,0,2134.41,2134.41,68812.56,68812.56,71309.22,71309.22,0,0,2134.41,2134.41,"Q1Y, Start age: 25","Q1Y, Start age: 25","Q2Y, Start age: 25","Q2Y, Start age: 25","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40"
csy_bleed_transfus_comp,6021.21,2900-7548,8,7225.452,4816.968,68812.56,68812.56,71309.22,71309.22,0,0,2134.41,2134.41,68812.56,68812.56,71309.22,71309.22,0,0,2134.41,2134.41,"Q1Y, Start age: 25","Q1Y, Start age: 25","Q2Y, Start age: 25","Q2Y, Start age: 25","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40"
csy_bleed_no_transfus_comp,383.21,300-500,8,459.852,306.568,68812.56,68812.56,71309.22,71309.22,0,0,2134.41,2134.41,68812.56,68812.56,71309.22,71309.22,0,0,2134.41,2134.41,"Q1Y, Start age: 25","Q1Y, Start age: 25","Q2Y, Start age: 25","Q2Y, Start age: 25","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40"
csy_serosal_burn,6021.21,2900-7548,8,7225.452,4816.968,68812.56,68812.56,71309.22,71309.22,0,0,2134.41,2134.41,68812.56,68812.56,71309.22,71309.22,0,0,2134.41,2134.41,"Q1Y, Start age: 25","Q1Y, Start age: 25","Q2Y, Start age: 25","Q2Y, Start age: 25","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40"
colectomy,30673,28920-540000,19,36807.6,24538.4,68812.56,68812.56,71309.22,71309.22,0,0,2134.41,2134.41,68812.56,68812.56,71309.22,71309.22,0,0,2134.41,2134.41,"Q1Y, Start age: 25","Q1Y, Start age: 25","Q2Y, Start age: 25","Q2Y, Start age: 25","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40"
dx stage I,3347.95,2410-5836,20,4017.54,2678.36,67739.82,69885.3,71848.5,70769.93,0,0,1298.98,2969.84,67739.82,69885.3,71848.5,70769.93,0,0,1298.98,2969.84,"Q1Y, Start age: 25","Q1Y, Start age: 25","Q2Y, Start age: 25","Q2Y, Start age: 25","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40"
dx stage II,3150.37,2296-5813,20,3780.444,2520.296,67688.89,69936.22,69501.02,73117.41,0,0,1493.92,2774.9,67688.89,69936.22,69501.02,73117.41,0,0,1493.92,2774.9,"Q1Y, Start age: 25","Q1Y, Start age: 25","Q2Y, Start age: 25","Q2Y, Start age: 25","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40"
dx stage III,4413.81,3217-6380,20,5296.572,3531.048,68528.45,69096.67,71004.99,71613.44,0,0,1756.34,2512.48,68528.45,69096.67,71004.99,71613.44,0,0,1756.34,2512.48,"Q1Y, Start age: 25","Q1Y, Start age: 25","Q2Y, Start age: 25","Q2Y, Start age: 25","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40","Q3Y, Start age: 40"
